id,title,area,section,read_only,risk,administrator,catalog_status,entry,route_line,route,implementation,tests_mentioning_id,runtime_status,individual_command_executed_by_audit,evidence_class
system,System overview,Checkup,Quick check,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,166,"await SystemOverviewAsync(cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.System.cs:18,tests/WinCare.Application.Tests/AppPreferenceDataTests.cs; tests/WinCare.Application.Tests/MeasurementProbeIsolationTests.cs; tests/WinCare.CommandCatalog.Tests/CommandCatalogTests.cs; tests/WinCare.Infrastructure.Tests/CommandSafetyTests.cs; tests/native/test_native_foundation.py,isolated backend read-only probe succeeded; returned shape/timing in evidence/backend-probes.json; not full UI feature certification,yes,individual read-only backend probe
applications,Installed applications,System care,Apps & startup,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,167,"Applications(),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.System.cs:43,,isolated backend read-only probe succeeded; returned shape/timing in evidence/backend-probes.json; not full UI feature certification,yes,individual read-only backend probe
cleanup-targets,Cleanup assessment,System care,Clean up,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,168,"await CleanupTargetsAsync(cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.System.cs:76,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
storage,Storage overview,System care,Clean up,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,169,"StorageOverview(),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.System.cs:107,tests/WinCare.Application.Tests/MeasurementProbeIsolationTests.cs; tests/WinCare.Application.Tests/Serialization/DomainJsonSerializationTests.cs,isolated backend read-only probe succeeded; returned shape/timing in evidence/backend-probes.json; not full UI feature certification,yes,individual read-only backend probe
startup,Startup applications,System care,Apps & startup,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,170,"StartupItems(),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.System.cs:132,tests/WinCare.Application.Tests/HomePageViewModelTests.cs,isolated backend read-only probe succeeded; returned shape/timing in evidence/backend-probes.json; not full UI feature certification,yes,individual read-only backend probe
health,Health findings,Checkup,Quick check,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,171,"HealthOverview(),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.System.cs:164,,isolated backend read-only probe succeeded; returned shape/timing in evidence/backend-probes.json; not full UI feature certification,yes,individual read-only backend probe
security,Security posture,Security,Status,True,ReadOnly,MayBeRequired,Implemented,All Tools / ExecuteSelectedToolCommand,172,"await SecurityOverviewAsync(cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.System.cs:183,,isolated backend read-only probe succeeded; returned shape/timing in evidence/backend-probes.json; not full UI feature certification,yes,individual read-only backend probe
network,Network summary,System care,Network & updates,True,ReadOnly,MayBeRequired,Implemented,All Tools / ExecuteSelectedToolCommand,173,"NetworkOverview(),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.System.cs:220,tests/WinCare.Application.Tests/HomePageViewModelTests.cs,isolated backend read-only probe succeeded; returned shape/timing in evidence/backend-probes.json; not full UI feature certification,yes,individual read-only backend probe
catalog,Available operations,All tools,Commands,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,,NO SWITCH ROUTE FOUND,,tests/WinCare.Application.Tests/CommandDispatcherTests.cs; tests/native/test_full_native_migration.py,isolated backend read-only probe succeeded; returned shape/timing in evidence/backend-probes.json; not full UI feature certification,yes,individual read-only backend probe
presets,Saved presets,All tools,Commands,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,,NO SWITCH ROUTE FOUND,,tests/WinCare.Application.Tests/CommandDispatcherTests.cs; tests/native/test_full_native_migration.py,isolated backend read-only probe succeeded; returned shape/timing in evidence/backend-probes.json; not full UI feature certification,yes,individual read-only backend probe
preset,Run a preset,All tools,Commands,False,Moderate,Required,Implemented,All Tools / ExecuteSelectedToolCommand,337,"await ApplyPresetAsync(p, cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Remediation.cs:12,tests/WinCare.Infrastructure.Tests/CommandSafetyTests.cs,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
pagefile,Virtual memory settings,All tools,Commands,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,174,"PagefileState(),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.System.cs:237,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
pagefile-recommendation,Virtual memory recommendation,All tools,Commands,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,175,"PagefileRecommendation(),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.System.cs:245,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
pagefile-set,Change virtual memory settings,All tools,Commands,False,Moderate,Required,Implemented,All Tools / ExecuteSelectedToolCommand,338,"PagefileSet(p, cancellationToken),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Security.cs:248,tests/WinCare.Application.Tests/Serialization/DomainJsonSerializationTests.cs; tests/WinCare.CommandCatalog.Tests/CommandCatalogTests.cs; tests/WinCare.Infrastructure.Tests/CommandSafetyTests.cs,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
security-controls,Security control status,Security,Status,True,ReadOnly,MayBeRequired,Implemented,All Tools / ExecuteSelectedToolCommand,176,"await SecurityControlsAsync(cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.System.cs:258,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
security-maintenance,Temporary security changes,Security,Status,True,ReadOnly,MayBeRequired,Implemented,All Tools / ExecuteSelectedToolCommand,177,"await ReadStateAsync(""security-maintenance"", cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.System.cs:582,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
security-control-reduce,Temporarily reduce a security control,Security,Hardening,False,High,Required,Implemented,All Tools / ExecuteSelectedToolCommand,339,"await SecurityControlReduceAsync(p, cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Security.cs:278,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
security-control-restore,Restore a security control,Security,Hardening,False,Moderate,Required,Implemented,All Tools / ExecuteSelectedToolCommand,340,"await SecurityControlRestoreAsync(p, cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Security.cs:309,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
tcp-global,TCP settings,System care,Network & updates,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,178,"await NativeToolQueryAsync(""tcp-global"", ""netsh.exe"", [""interface"", ""tcp"", ""show"", ""global""], cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.System.cs:356,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
network-measure,Measure network endpoints,System care,Network & updates,True,ReadOnly,MayBeRequired,Implemented,All Tools / ExecuteSelectedToolCommand,179,"await NetworkMeasureAsync(p, cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.System.cs:272,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
network-experiments,Network experiments,System care,Network & updates,True,ReadOnly,MayBeRequired,Implemented,All Tools / ExecuteSelectedToolCommand,180,"await ReadStateAsync(""network-experiments"", cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.System.cs:582,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
