path,classification,bytes,inspected
.gitattributes,documentation/design/configuration,370,inventory only; see coverage ledger for depth
.github/CODEOWNERS,CI,860,inventory only; see coverage ledger for depth
.github/dependabot.yml,CI,1812,inventory only; see coverage ledger for depth
.github/pull_request_template.md,CI,2129,inventory only; see coverage ledger for depth
.github/workflows/native-release-candidate.yml,CI,3018,inventory only; see coverage ledger for depth
.github/workflows/native-winui.yml,CI,20962,inventory only; see coverage ledger for depth
.gitignore,documentation/design/configuration,501,inventory only; see coverage ledger for depth
CHANGELOG.md,documentation/design/configuration,12993,inventory only; see coverage ledger for depth
CONTRIBUTING.md,documentation/design/configuration,6043,inventory only; see coverage ledger for depth
DESIGN.md,documentation/design/configuration,9729,inventory only; see coverage ledger for depth
Directory.Build.props,documentation/design/configuration,1820,inventory only; see coverage ledger for depth
Directory.Packages.props,documentation/design/configuration,915,inventory only; see coverage ledger for depth
LICENSE,documentation/design/configuration,10160,inventory only; see coverage ledger for depth
NuGet.Config,documentation/design/configuration,204,inventory only; see coverage ledger for depth
PR-REVIEW-2026-09-05.md,documentation/design/configuration,6552,inventory only; see coverage ledger for depth
README.md,documentation/design/configuration,8802,inventory only; see coverage ledger for depth
REVIEW.md,documentation/design/configuration,23702,inventory only; see coverage ledger for depth
SECURITY.md,documentation/design/configuration,7600,inventory only; see coverage ledger for depth
THIRD-PARTY-NOTICES.md,documentation/design/configuration,1531,inventory only; see coverage ledger for depth
VALIDATION.md,documentation/design/configuration,10528,inventory only; see coverage ledger for depth
WinCare.Native.sln,documentation/design/configuration,7129,inventory only; see coverage ledger for depth
design/BRAND.md,documentation/design/configuration,940,inventory only; see coverage ledger for depth
design/README.md,documentation/design/configuration,472,inventory only; see coverage ledger for depth
design/WinCare-Brand.manifest.json,documentation/design/configuration,1129,inventory only; see coverage ledger for depth
design/WinCare-Logo-512.png,documentation/design/configuration,11223,inventory only; see coverage ledger for depth
design/WinCare-Logo.png,documentation/design/configuration,730387,inventory only; see coverage ledger for depth
design/WinCare-Logo.svg,documentation/design/configuration,1028,inventory only; see coverage ledger for depth
design/WinCare-Wordmark.svg,documentation/design/configuration,1205,inventory only; see coverage ledger for depth
design/WinCare.ico,documentation/design/configuration,15972,inventory only; see coverage ledger for depth
docs/Architecture.md,documentation/design/configuration,9436,inventory only; see coverage ledger for depth
docs/README.md,documentation/design/configuration,2413,inventory only; see coverage ledger for depth
docs/Screenshots.md,documentation/design/configuration,3571,inventory only; see coverage ledger for depth
docs/User-Guide.md,documentation/design/configuration,13994,inventory only; see coverage ledger for depth
docs/architecture.html,documentation/design/configuration,9186,inventory only; see coverage ledger for depth
